Customer ID,Campaign,Sitelink text,Description line 1,Description line 2,Final URL
XXX-XXX-XXXX,Search_Entretien_Nonancourt,Devis gratuit,"Visite du toit, prix détaillé.",Sans engagement.,https://wmcouverture.fr/#devis
XXX-XXX-XXXX,Search_Entretien_Nonancourt,Dépannage 24 h/24,"Fuite, tuiles arrachées, bâche.",Mise hors d'eau la nuit.,https://wmcouverture.fr/depannage-toiture/
XXX-XXX-XXXX,Search_Entretien_Nonancourt,Nos chantiers,Photos avant et après travaux.,"Tuile, ardoise et zinc.",https://wmcouverture.fr/#chantiers
XXX-XXX-XXXX,Search_Entretien_Nonancourt,Zone d'intervention,"Nonancourt, Dreux et alentours.",Déplacement offert.,https://wmcouverture.fr/couvreur-dreux/
XXX-XXX-XXXX,Search_Urgence_Nonancourt,Devis gratuit,"Visite du toit, prix détaillé.",Sans engagement.,https://wmcouverture.fr/#devis
XXX-XXX-XXXX,Search_Urgence_Nonancourt,Dépannage 24 h/24,"Fuite, tuiles arrachées, bâche.",Mise hors d'eau la nuit.,https://wmcouverture.fr/depannage-toiture/
XXX-XXX-XXXX,Search_Urgence_Nonancourt,Nos chantiers,Photos avant et après travaux.,"Tuile, ardoise et zinc.",https://wmcouverture.fr/#chantiers
XXX-XXX-XXXX,Search_Urgence_Nonancourt,Zone d'intervention,"Nonancourt, Dreux et alentours.",Déplacement offert.,https://wmcouverture.fr/couvreur-dreux/
XXX-XXX-XXXX,Search_Refection_Nonancourt,Devis gratuit,"Visite du toit, prix détaillé.",Sans engagement.,https://wmcouverture.fr/#devis
XXX-XXX-XXXX,Search_Refection_Nonancourt,Dépannage 24 h/24,"Fuite, tuiles arrachées, bâche.",Mise hors d'eau la nuit.,https://wmcouverture.fr/depannage-toiture/
XXX-XXX-XXXX,Search_Refection_Nonancourt,Nos chantiers,Photos avant et après travaux.,"Tuile, ardoise et zinc.",https://wmcouverture.fr/#chantiers
XXX-XXX-XXXX,Search_Refection_Nonancourt,Zone d'intervention,"Nonancourt, Dreux et alentours.",Déplacement offert.,https://wmcouverture.fr/couvreur-dreux/
XXX-XXX-XXXX,Search_Marque,Devis gratuit,"Visite du toit, prix détaillé.",Sans engagement.,https://wmcouverture.fr/#devis
XXX-XXX-XXXX,Search_Marque,Dépannage 24 h/24,"Fuite, tuiles arrachées, bâche.",Mise hors d'eau la nuit.,https://wmcouverture.fr/depannage-toiture/
XXX-XXX-XXXX,Search_Marque,Nos chantiers,Photos avant et après travaux.,"Tuile, ardoise et zinc.",https://wmcouverture.fr/#chantiers
XXX-XXX-XXXX,Search_Marque,Zone d'intervention,"Nonancourt, Dreux et alentours.",Déplacement offert.,https://wmcouverture.fr/couvreur-dreux/
